manifest_order	year	edition	configured_source	range_start	range_end	configured_range_kind	schema_regime	unit_multiplier	rotation_degrees	source_note	todo	manifest_row_status	selected_source_available	selected_source_type	selected_source_path	alternate_source_count	alternate_source_paths	output_token_file_count	output_page_count	invalid_row_note
89	1922	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1922-2-hathi.pdf	7	1976	
90	1923	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	2018	
91	1923	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1923-2-google.pdf	7	2046	
92	1924	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	2035	
93	1924	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1924-2-google.pdf	7	1671	
94	1925	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1755	
95	1925	2	fraser	2	7	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1925-2-google.pdf	6	1765	
96	1926	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1779	
97	1926	2	fraser	2	7	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		6	1770	
98	1927	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1756	
99	1927	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1927-2-google.pdf	7	1847	
100	1928	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1824	
101	1928	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1835	
102	1929	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1854	
103	1929	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1864	
104	1930	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	yes	multi_pdf_directory	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1930-1-fraser	0		7	1936	
105	1930	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1876	
106	1931	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1820	
107	1931	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1758	
108	1932	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1690	
109	1932	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1626	
110	1933	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1541	
111	1933	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		0		7	1385	
112	1934	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder	Now 11 cols instead of 8; and in thousands; col3 might be cons with col2; just use a new prompt+schema	configured	no	missing		0		7	1325	
113	1934	2	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1290	
114	1935	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1352	
115	1935	2	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1268	
